Date,Visitors,Orders,Conversion_Rate,Average_Order_Value,Revenue,COGS,Marketing_Spend,Refunds,Profit
2023-01-01,3914,87,0.022,80.89,7037.58,5060.26,658.82,1,1318.5
2023-01-02,9579,285,0.03,184.04,52450.08,31054.13,159.18,11,21236.77
2023-01-03,2401,52,0.022,141.57,7361.85,5508.63,245.44,2,1607.77
2023-01-04,7468,217,0.029,104.12,22594.86,15763.08,530.84,8,6300.94
2023-01-05,5140,227,0.044,134.05,30429.16,15843.7,760.51,6,13824.95
2023-01-06,2377,83,0.035,176.86,14679.18,10984.14,670.15,2,3024.89
2023-01-07,8711,366,0.042,117.36,42953.84,30732.81,757.0,10,11464.03
2023-01-08,3283,161,0.049,118.98,19155.72,13459.47,187.2,7,5509.05
2023-01-09,1679,55,0.033,134.31,7387.0,5648.86,143.35,2,1594.8
2023-01-10,6545,70,0.011,61.12,4278.22,3050.96,913.77,1,313.48
2023-01-11,2212,58,0.027,133.21,7726.42,5329.0,235.44,2,2161.97
2023-01-12,5098,243,0.048,122.01,29648.25,16139.7,582.47,4,12926.09
2023-01-13,2610,54,0.021,196.39,10604.92,6606.8,193.12,2,3805.0
2023-01-14,7746,239,0.031,195.89,46816.52,26077.49,629.11,6,20109.93
2023-01-15,6894,192,0.028,108.86,20901.71,12521.8,190.61,6,8189.3
2023-01-16,1161,16,0.014,39.68,634.87,364.31,702.27,0,-431.72
2023-01-17,7657,298,0.039,30.75,9162.26,6982.04,732.56,3,1447.65
2023-01-18,9717,469,0.048,147.83,69332.83,47979.22,903.28,22,20450.33
2023-01-19,3812,165,0.043,66.05,10898.41,8159.54,579.76,7,2159.11
2023-01-20,2251,107,0.048,134.8,14423.82,8467.41,263.72,2,5692.69
2023-01-21,9838,122,0.012,112.53,13728.12,8135.19,905.97,2,4686.96
2023-01-22,3799,83,0.022,72.9,6050.59,4100.93,748.59,1,1201.07
2023-01-23,9902,145,0.015,81.97,11885.12,9142.8,430.46,3,2311.86
2023-01-24,4955,227,0.046,53.56,12157.54,7787.99,991.19,5,3378.36
2023-01-25,7643,295,0.039,164.24,48449.86,26924.7,660.52,13,20864.64
2023-01-26,1562,70,0.045,70.2,4914.13,2757.75,265.37,0,1891.01
2023-01-27,7590,226,0.03,161.26,36445.33,26336.49,736.28,3,9372.56
2023-01-28,6507,80,0.012,43.3,3464.05,2658.37,648.75,2,156.92
2023-01-29,9518,429,0.045,143.1,61391.49,36493.24,216.26,8,24681.99
2023-01-30,7683,192,0.025,96.42,18513.51,11198.03,646.34,8,6669.14
2023-01-31,1550,41,0.027,110.31,4522.68,3119.08,337.69,0,1065.91
2023-02-01,6076,120,0.02,69.22,8306.53,5653.2,343.61,5,2309.72
2023-02-02,1845,31,0.017,149.28,4627.81,2424.97,848.17,0,1354.67
2023-02-03,1043,28,0.027,122.74,3436.82,2422.91,934.96,0,78.95
2023-02-04,6040,136,0.023,97.26,13227.16,7945.85,806.42,4,4474.9
2023-02-05,6737,168,0.025,55.67,9353.38,5281.98,369.87,6,3701.53
2023-02-06,6500,120,0.019,187.28,22473.45,16380.19,926.87,5,5166.38
2023-02-07,4168,204,0.049,118.32,24137.18,17500.97,656.6,3,5979.61
2023-02-08,2753,39,0.014,190.32,7422.51,5437.32,162.4,0,1822.79
2023-02-09,1548,23,0.015,179.63,4131.45,2814.16,756.71,0,560.58
2023-02-10,7130,71,0.01,141.8,10067.61,7060.8,654.33,1,2352.48
2023-02-11,7729,206,0.027,187.91,38709.0,23324.23,653.54,5,14731.23
2023-02-12,9423,235,0.025,81.39,19126.97,12374.45,817.12,11,5935.41
2023-02-13,9156,390,0.043,72.2,28158.25,16043.29,197.5,11,11917.47
2023-02-14,9506,204,0.022,106.38,21702.51,17233.82,621.73,6,3846.96
2023-02-15,8670,363,0.042,134.45,48804.01,33955.52,190.51,12,14657.99
2023-02-16,4043,162,0.04,80.38,13020.9,7859.0,358.14,3,4803.76
2023-02-17,1738,55,0.032,41.02,2256.18,1199.61,890.53,2,166.04
2023-02-18,3739,121,0.033,107.37,12992.33,7652.26,872.31,4,4467.76
2023-02-19,5753,176,0.031,81.32,14312.98,9865.86,559.98,4,3887.15
2023-02-20,5435,88,0.016,193.18,17000.19,11731.65,570.82,2,4697.72
2023-02-21,5017,105,0.021,69.12,7257.67,5481.75,661.61,2,1114.31
2023-02-22,8446,166,0.02,117.86,19565.57,10926.67,885.97,4,7752.93
2023-02-23,3467,51,0.015,122.11,6227.83,4108.83,575.57,2,1543.43
2023-02-24,6273,76,0.012,79.64,6052.48,3886.48,175.82,2,1990.18
2023-02-25,7964,248,0.031,194.46,48224.89,34386.77,217.89,11,13620.23
2023-02-26,1346,18,0.014,187.58,3376.44,2454.92,642.75,0,278.77
2023-02-27,5316,237,0.045,167.8,39769.28,28965.32,563.83,11,10240.13
2023-02-28,7784,345,0.044,31.76,10958.08,7978.45,663.11,3,2316.53
2023-03-01,7244,199,0.028,169.53,33736.23,20566.56,131.83,7,13037.84
2023-03-02,4790,105,0.022,121.06,12711.31,8939.19,523.74,4,3248.39
2023-03-03,1571,34,0.022,152.62,5189.01,3754.6,882.51,0,551.9
2023-03-04,5184,97,0.019,194.34,18850.98,13886.06,922.56,1,4042.36
2023-03-05,2575,35,0.014,85.94,3007.9,2178.13,967.53,0,-137.76
2023-03-06,2045,24,0.012,109.65,2631.6,1818.61,319.21,0,493.78
2023-03-07,7831,195,0.025,81.54,15899.67,11169.34,746.27,9,3984.07
2023-03-08,9905,430,0.043,73.98,31811.79,21611.61,770.92,12,9429.27
2023-03-09,9422,144,0.015,118.63,17082.52,8683.4,708.09,3,7691.03
2023-03-10,7489,277,0.037,23.04,6381.8,3747.57,293.76,13,2340.48
2023-03-11,4767,62,0.013,129.66,8038.88,4701.7,463.05,1,2874.14
2023-03-12,4954,239,0.048,194.92,46585.46,31696.8,865.58,9,14023.08
2023-03-13,6761,286,0.042,84.88,24274.85,13559.31,281.21,13,10434.33
2023-03-14,5913,153,0.026,61.58,9421.7,6496.77,184.8,4,2740.14
2023-03-15,7571,370,0.049,175.92,65088.97,50015.2,778.17,11,14295.61
2023-03-16,2306,66,0.029,104.7,6909.89,4191.78,391.24,1,2326.88
2023-03-17,9628,396,0.041,49.49,19597.84,15040.72,274.54,12,4282.58
2023-03-18,1048,31,0.03,53.28,1651.68,929.39,428.87,0,293.42
2023-03-19,8952,303,0.034,188.99,57264.41,35365.31,307.45,4,21591.65
2023-03-20,9090,328,0.036,150.62,49403.08,30605.43,292.7,3,18504.94
2023-03-21,9173,281,0.031,41.85,11758.63,9245.07,670.7,11,1842.86
2023-03-22,5815,111,0.019,162.84,18075.16,10093.81,392.06,2,7589.3
2023-03-23,6913,86,0.012,138.88,11943.74,9277.3,305.76,2,2360.69
2023-03-24,2818,112,0.04,95.4,10684.28,6756.27,569.9,4,3358.11
2023-03-25,2966,50,0.017,113.26,5662.78,3933.23,390.02,2,1339.53
2023-03-26,5652,240,0.043,65.95,15827.21,11120.69,659.14,3,4047.39
2023-03-27,5995,169,0.028,137.38,23216.55,12293.17,643.41,2,10279.98
